20:02:16 | univest time 377390643.19 | altitude 78547.13 | apoapsis 145446.62 | stage_3_fuel 0.00 | stage_2_fuel 97.84
20:02:26 | univest time 377390654.27 | altitude 84840.12 | apoapsis 150100.97 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:02:36 | univest time 377390880.45 | altitude 149987.47 | apoapsis 150100.96 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:02:47 | univest time 377390890.61 | altitude 150125.68 | apoapsis 150143.65 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:02:57 | univest time 377391009.14 | altitude 150585.99 | apoapsis 151419.90 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:03:07 | univest time 377391664.21 | altitude 151073.80 | apoapsis 151419.90 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:03:17 | univest time 377391674.23 | altitude 151181.46 | apoapsis 351364.13 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:03:27 | univest time 377391684.23 | altitude 151818.76 | apoapsis 3988096.02 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:03:37 | univest time 377391719.99 | altitude 158501.23 | apoapsis 12221153.59 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:03:47 | univest time 377409697.97 | altitude 10910548.97 | apoapsis 12221153.59 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:03:57 | univest time 377410072.45 | altitude 2158081.52 | apoapsis -2263761.58 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:04:07 | univest time 377415368.51 | altitude 196341.40 | apoapsis -2263761.58 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:04:17 | univest time 377415771.30 | altitude 132801.72 | apoapsis -2263761.58 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:04:27 | univest time 377415781.30 | altitude 132713.98 | apoapsis -2263761.57 | stage_3_fuel 0.00 | stage_2_fuel 0.00
21:42:30 | univest time 377391392.56 | altitude 79.01 | apoapsis 79.01 | stage_3_fuel 2952.00 | stage_2_fuel 1413.00
21:42:40 | univest time 377391401.44 | altitude 243.88 | apoapsis 352.89 | stage_3_fuel 2715.33 | stage_2_fuel 1342.58
21:42:50 | univest time 377391409.48 | altitude 835.20 | apoapsis 1363.94 | stage_3_fuel 2473.24 | stage_2_fuel 1270.55
21:43:00 | univest time 377391417.26 | altitude 1840.58 | apoapsis 3117.24 | stage_3_fuel 2238.98 | stage_2_fuel 1200.84
21:43:10 | univest time 377391424.18 | altitude 3104.85 | apoapsis 5360.29 | stage_3_fuel 2030.61 | stage_2_fuel 1138.84
